id,movie,rank
3291684768,Attack of the Clones,5
3291684768,Revenge of the Sith,4
3291684768,A New Hope,1
3291684768,The Empire Strikes Back,2
3291684768,Return of the Jedi,3
3291658046,The Phantom Menace,6
3291658046,Attack of the Clones,4
3291658046,Revenge of the Sith,5
3291658046,A New Hope,1
3291658046,The Empire Strikes Back,2
3291658046,Return of the Jedi,3
3291654919,The Phantom Menace,6
3291654919,Attack of the Clones,5
3291654919,Revenge of the Sith,4
3291654919,A New Hope,2
3291654919,The Empire Strikes Back,3
3291654919,Return of the Jedi,1
3291650311,The Phantom Menace,6
3291650311,Attack of the Clones,5
3291650311,Revenge of the Sith,3
3291650311,A New Hope,2
3291650311,The Empire Strikes Back,1
3291650311,Return of the Jedi,4
3291602842,The Phantom Menace,1
3291602842,Attack of the Clones,2
3291602842,Revenge of the Sith,3
3291602842,A New Hope,4
3291602842,The Empire Strikes Back,5
3291602842,Return of the Jedi,6
3291588139,The Phantom Menace,1
3291588139,Attack of the Clones,4
3291588139,Revenge of the Sith,5
3291588139,A New Hope,2
3291588139,The Empire Strikes Back,3
3291588139,Return of the Jedi,6
3291548852,The Phantom Menace,6
3291548852,Attack of the Clones,5
3291548852,Revenge of the Sith,4
3291548852,A New Hope,1
3291548852,The Empire Strikes Back,3
3291548852,Return of the Jedi,2
3291529925,The Phantom Menace,3
3291529925,Attack of the Clones,5
3291529925,Revenge of the Sith,6
3291529925,A New Hope,2
3291529925,The Empire Strikes Back,1
3291529925,Return of the Jedi,4
3291497337,The Phantom Menace,6
3291497337,Attack of the Clones,5
3291497337,Revenge of the Sith,4
3291497337,A New Hope,1
3291497337,The Empire Strikes Back,3
3291497337,Return of the Jedi,2
3291482197,The Phantom Menace,5
3291482197,Attack of the Clones,3
3291482197,Revenge of the Sith,4
3291482197,A New Hope,6
3291482197,The Empire Strikes Back,2
3291482197,Return of the Jedi,1
3291446275,The Phantom Menace,3
3291446275,Attack of the Clones,5
3291446275,Revenge of the Sith,6
3291446275,A New Hope,2
3291446275,The Empire Strikes Back,4
3291446275,Return of the Jedi,1
3291437345,The Phantom Menace,4
3291437345,Attack of the Clones,5
3291437345,Revenge of the Sith,2
3291437345,A New Hope,1
3291437345,The Empire Strikes Back,3
3291437345,Return of the Jedi,6
3291431939,The Phantom Menace,3
3291431939,Attack of the Clones,6
3291431939,Revenge of the Sith,4
3291431939,A New Hope,1
3291431939,The Empire Strikes Back,2
3291431939,Return of the Jedi,5
3291425110,The Phantom Menace,6
3291425110,Attack of the Clones,4
3291425110,Revenge of the Sith,5
3291425110,A New Hope,1
3291425110,The Empire Strikes Back,2
3291425110,Return of the Jedi,3
3291424127,The Phantom Menace,4
3291424127,Attack of the Clones,5
3291424127,Revenge of the Sith,6
3291424127,A New Hope,3
3291424127,The Empire Strikes Back,2
3291424127,Return of the Jedi,1
3291401326,The Phantom Menace,2
3291401326,Attack of the Clones,3
3291401326,Revenge of the Sith,4
3291401326,A New Hope,1
3291401326,The Empire Strikes Back,5
3291401326,Return of the Jedi,6
3291395512,The Phantom Menace,6
3291395512,Attack of the Clones,5
3291395512,Revenge of the Sith,4
3291395512,A New Hope,2
3291395512,The Empire Strikes Back,3
3291395512,Return of the Jedi,1
3291364062,The Phantom Menace,4
3291364062,Attack of the Clones,3
3291364062,Revenge of the Sith,6
3291364062,A New Hope,2
3291364062,The Empire Strikes Back,5
3291364062,Return of the Jedi,1
3291345427,The Phantom Menace,4
3291345427,Attack of the Clones,5
3291345427,Revenge of the Sith,6
3291345427,A New Hope,1
